Country,TechValueAdded,RDExp,IndDesign,UtModel,Trademark,Patent,HighTechExp,UNCTADclass,PaymentsIPr,PaymentsIPp,FDI,Researchers
Hong Kong SAR,36,1,1672,579,0,20164,194079875754,developing economy,714653695,2037243795,122407913138,4585
Honduras,7,0,21,2,7765,194,21992491,developing economy,0,102302654,758999598,0
Croatia,33,0,,27,2602,130,1723344099,developed economy,125059892,387783910,3589230734,2331
Hungary,55,2,119,208,4346,501,21996652567,developed economy,1600622727,1361684817,-10235193159,4452
Indonesia,31,0,4862,4088,120335,9967,9894860444,developing economy,213320414,2063949839,24702029705,400
India,45,1,22557,0,479187,77068,35219086846,developing economy,1167577791,10427794881,49940258404,260
Ireland,54,1,50,117,3028,89,80006331470,developed economy,14880800687,142667383040,-1898868608,5251
Iran,38,0,8212,0,107304,8681,96091030,developing economy,0,0,1500000000,0
Iraq,6,0,,0,2891,0,0,developing economy,2300000,8300000,-2088200000,162
Iceland,14,3,149,0,3909,39,322122034,developed economy,86464476,70940517,1220864331,6940
Israel,47,6,1236,0,11074,10073,14221825000,developed economy,2768700000,2700300000,23031200000,0
Italy,44,2,1104,1826,41630,9221,43256520915,developed economy,5270545084,5788000993,62728326244,2678
Jamaica,19,0,191,0,3606,19,927489,developing economy,4769937,50756620,318736000,0
Jordan,20,0,123,0,7942,350,129255367,developing economy,15633803,34929577,1137042254,0
Japan,56,3,30438,4513,168381,289530,83102743949,developed economy,46598458568,27797728102,49278835164,5638
Kazakhstan,17,0,192,0,11152,838,4589168984,developing economy,6647490,301748391,4926602899,626
Kenya,15,0,122,366,6978,417,46921966,developing economy,73661979,39863722,393583092,0
Kyrgyz Republic,2,0,124,7,3280,71,134789301,developing economy,3217996,8282522,54849000,0
Cambodia,0,0,6,0,7117,162,1192959337,least developed country,17711103,37606656,3578831296,0
Korea,64,5,56907,3084,255794,237633,98537965972,developed economy,7925500000,11676500000,17996000000,9082
Kuwait,32,0,308,0,12673,734,77704144,developing economy,0,0,752255306,166
Sri Lanka,9,0,159,0,9465,431,103354129,developing economy,0,0,898295214,105
Lithuania,32,1,112,0,2823,77,3569439157,developed economy,8552531,509225246,745150136,3935
Luxembourg,22,1,,0,0,2093,804989238,developed economy,2194302482,6601643474,-322053781286,4941
Latvia,25,1,55,0,2308,112,1920977117,developed economy,18926877,38768989,1161689940,2405
Macao SAR,6,0,268,20,12432,31,0,developing economy,0,189890196,2933072258,4132
Morocco,41,0,1160,0,15814,2913,1268377658,developing economy,2706999,176734128,2177845609,0
Moldova,24,0,209,102,4055,59,22595261,developed economy,2850000,44580000,586040000,781
Madagascar,3,0,360,0,2125,32,6075603,least developed country,653254,8299459,467848664,0
Maldives,3,0,,608,0,0,37875,developing economy,0,63131273,721895590,0
Mexico,43,0,3667,0,176550,16605,85898585526,developing economy,1712564970,4321444242,39101311849,358
North Macedonia,33,0,188,0,3544,24,286568130,developed economy,13723701,137655090,854152515,744
Malta,29,1,12,0,1763,16,206522669,developed economy,0,1752706801,4829250953,2161
Montenegro,15,0,194,0,2975,7,14404160,developed economy,918008,6593836,872558550,0
Mongolia,4,0,329,97,3622,192,51108193,developing economy,1585759,33398294,2504294750,332
Mozambique,11,0,110,14,3027,41,18227565,least developed country,0,0,2539017296,0
Mauritius,4,0,6,0,2120,8,16815518,developing economy,701569,12079701,252104280,557
Malaysia,45,1,1656,168,37738,7374,66214448416,developing economy,281839163,2677724275,14725970432,726
Namibia,7,0,97,4,1700,32,764250,developing economy,1718474,8863054,1056043503,0
Niger,18,0,188,0,0,0,5916151,least developed country,23443,0,965976159,0
Nigeria,33,0,,0,0,1104,76499040,developing economy,0,252840000,-186792429,0
Netherlands,52,2,,0,0,3772,92149414409,developed economy,35259119166,31120479140,-12076017256,6074
Norway,43,2,1210,0,16207,1410,5273631388,developed economy,430020825,546959608,12903798816,7228
New Zealand,22,2,1736,0,25260,7043,819871309,developed economy,1103242039,1092436689,8340194362,5102
Oman,45,0,195,0,11310,530,784357485,developing economy,0,267361798,5478803641,330
Pakistan,23,0,478,0,46467,908,329499960,developing economy,13000000,111000000,1415000000,415
Panama,6,0,,0,0,0,333696,developing economy,170506,24028220,2997059850,0
Peru,13,0,391,447,33597,1449,263100678,developing economy,39533790,521794008,10848486728,0
Philippines,42,0,1341,1639,40314,4765,41726924625,developing economy,12281659,550887119,9365998303,0
Poland,33,1,874,673,14235,3323,28268826995,developed economy,1234000000,4002000000,36900000000,3534
Portugal,28,2,231,96,20204,745,3746711414,developed economy,142229656,857595447,9531041797,5473
Paraguay,22,0,83,14,24781,371,179228712,developing economy,0,15080000,672035411,0
Qatar,50,1,,0,10568,0,269483240,developing economy,0,0,76098901,983
Romania,41,1,215,49,10828,843,8356833712,developed economy,95573681,953958365,11477511659,985
Russian Federation,32,1,6868,8521,109374,26924,10553177551,developed economy,744370000,4481680000,-39799830000,2725
Rwanda,7,0,46,7,1230,12,6797226,least developed country,585471,255795,398599355,0
Saudi Arabia,37,0,1508,0,40287,5837,158436055,developing economy,0,0,28055082624,692
Singapore,82,2,2317,0,27821,14653,94102974777,developing economy,12341779497,15806794004,140844052224,7225
Serbia,25,0,311,77,6407,148,985830757,developed economy,210696853,639817125,4612248812,2207
Suriname,12,0,,0,659,0,29033118,developing economy,30580,6662934,-9305315,0
Slovak Republic,50,1,102,288,3338,203,7897423538,developed economy,52119502,742810666,4049276966,3211
Slovenia,37,2,106,0,1894,246,3881308703,developed economy,156218545,283531749,2180392923,5223
Sweden,51,3,191,0,7840,2180,22976306438,developed economy,8275103503,15260276276,45881781374,8131
Syria,22,0,242,10,10272,139,0,developing economy,0,0,0,0
Thailand,41,1,5259,3441,42279,8607,44864080341,developing economy,264794464,5530413570,11231916012,2024
Tajikistan,3,0,58,158,2252,3,3026694,developing economy,0,31390,174305128,0
Tonga,2,0,1,0,185,0,0,developing economy,0,13586,7492007,0
Trinidad and Tobago,39,0,11,0,0,0,6251561,developing economy,10188261,16851591,-913501690,591
Tunisia,28,0,744,0,5547,366,1041437027,developing economy,22071143,23488852,643213141,1584
Turkiye,34,1,20496,5558,212099,9119,6814962080,developing economy,234000000,2853000000,13094000000,2000
Tanzania,7,0,,0,4746,62,17160700,least developed country,0,0,1264667981,0
Uganda,11,0,58,19,3860,11,17816472,least developed country,16958000,0,2952941688,0
Ukraine,28,0,1303,2378,21601,2760,888065427,developed economy,51000000,349000000,247000000,587
Uruguay,19,0,,0,6095,0,186096554,developing economy,76054021,199038273,8523456475,808
United States,44,4,52325,0,544823,594340,166435572426,developed economy,127392000000,53241000000,388078000000,4452
Uzbekistan,18,0,218,453,9516,674,83976164,developing economy,441339,111469038,2497511103,525
Venezuela,34,0,33,84,12143,230,0,developing economy,0,0,941333333,289
Viet Nam,40,0,3396,601,64175,8707,122993363763,developing economy,0,0,17900000000,779
Yemen,2,0,79,0,4960,15,0,least developed country,0,0,0,0
South Africa,24,1,1700,0,39120,13990,2475526790,developing economy,207073127,1453465563,9194808416,473
Zambia,10,0,42,0,3046,19,11237469,least developed country,0,20230940,-65118863,0
Zimbabwe,10,0,17,0,2154,41,7822102,developing economy,0,0,341500000,0
